,Price,Square Meters,Address,Bedrooms,Bathrooms,Listing Type
1261,125 000 €,136,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",0,2,Trespasse
1262,418 000 €,161,"Mafra, Santo Isidoro",3,3,Moradia
1263,70 000 €,45,"Sintra, Queluz e Belas",--,1,Trespasse
1264,785 000 €,244,"Lisboa, Santa Maria Maior",--,--,Loja
1265,429 900 €,100,"Lisboa, São Domingos de Benfica",3,2,Apartamento
1266,369 900 €,85,"Lisboa, São Domingos de Benfica",2,2,Apartamento
1267,375 000 €,72,"Lisboa, Alcântara",1,2,Apartamento
1268,52 000 €,16,"Amadora, Mina de Água",--,1,Loja
1269,360 000 €,118,"Lisboa, Santa Clara",2,1,Apartamento
1270,280 000 €,61,"Amadora, Encosta do Sol",2,1,Moradia
1271,329 000 €,150,"Sintra, Casal de Cambra",3,2,Apartamento
1272,2 650 000 €,296,"Lisboa, Marvila",4,5,Apartamento
1273,395 000 €,120,"Lisboa, Alvalade",3,0,Apartamento
1274,220 000 €,78,"Amadora, Mina de Água",2,1,Apartamento
1275,199 500 €,62,"Sintra, Queluz e Belas",2,1,Apartamento
1276,120 000 €,75,"Amadora, Mina de Água",--,0,Terreno
1277,280 000 €,66,"Cascais, São Domingos de Rana",2,1,Apartamento
1278,550 000 €,163,"Lisboa, Santa Clara",2,2,Apartamento
1279,190 000 €,76,"Sintra, Cacém e São Marcos",2,1,Apartamento
1280,800 000 €,193,"Odivelas, Pontinha e Famões",4,3,Apartamento
1281,239 500 €,95,"Mafra, Malveira e São Miguel de Alcainça",2,1,Apartamento
1282,770 000 €,200,"Lisboa, São Domingos de Benfica",4,3,Apartamento
1283,599 000 €,118,"Oeiras, Carnaxide e Queijas",3,3,Apartamento
1284,270 000 €,58,"Lisboa, Campo de Ourique",1,1,Apartamento
1285,580 000 €,130,"Lisboa, Avenidas Novas",3,3,Apartamento
1286,359 900 €,130,"Cascais, São Domingos de Rana",3,2,Apartamento
1287,307 000 €,140,"Sintra, Massamá e Monte Abraão",3,2,Apartamento
1288,135 000 €,76,"Vila Franca de Xira, Vialonga",3,1,Apartamento
1289,146 500 €,64,"Sintra, Cacém e São Marcos",2,1,Apartamento
1290,32 000 €,9000,"Sintra, Almargem do Bispo, Pêro Pinheiro e Montelavar",--,0,Terreno
1291,870 000 €,227,"Lisboa, Olivais",3,3,Moradia
1292,198 000 €,60,"Loures, Loures",2,1,Apartamento
1293,199 000 €,72,"Torres Vedras, A dos Cunhados e Maceira",2,2,Moradia
1294,290 000 €,110,"Sintra, Agualva e Mira-Sintra",3,0,Apartamento
1295,225 000 €,282,"Sintra, Queluz e Belas",--,0,Garagem
1296,950 000 €,103,"Lisboa, Olivais",4,4,Moradia
1297,25 000 €,6,"Sintra, Massamá e Monte Abraão",--,0,Garagem
1298,295 000 €,97,"Sintra, Massamá e Monte Abraão",4,2,Apartamento
1299,590 000 €,186,"Mafra, Mafra",3,3,Moradia
1300,599 000 €,127,"Lisboa, Avenidas Novas",4,2,Apartamento
1301,205 000 €,60,"Loures, Loures",2,1,Apartamento
1302,420 000 €,187,"Cascais, Carcavelos e Parede",4,4,Apartamento
1303,59 900 €,36,"Lisboa, Alcântara",--,2,Trespasse
1304,480 000 €,112,"Sintra, Rio de Mouro",3,3,Moradia
1305,187 000 €,77,"Sintra, Algueirão-Mem Martins",2,1,Apartamento
1306,770 000 €,225,"Cascais, Alcabideche",4,5,Moradia
1307,102 100 €,55,"Odivelas, Pontinha e Famões",1,1,Apartamento
1308,200 000 €,40,"Cascais, Cascais e Estoril",1,1,Apartamento
1309,300 000 €,107,"Cascais, Cascais e Estoril",3,1,Apartamento
