Address,Price,Property Type,Rooms,Bathrooms,Square Meters
"Parque das Nações - Expo Norte, Lisboa",549.000 €,Apartamento,2,2,110
"Monte Da Caparica, Almada",215.000 €,Apartamento,3,2,78
"Algueirão, Sintra",Sob Consulta,Moradia,4,2,139
"Guerreiros, Loures",395.000 €,Moradia Isolada,3,2,120
"Santo António, Lisboa",3.220.000 €,Apartamento,6,4,275
"Rio de Mouro, Sintra",220.000 €,Apartamento,3,2,93
"Rio de Mouro, Sintra",210.000 €,Apartamento,3,1,80
"Quinta da Cavaleira, Sintra",260.000 €,Apartamento,4,2,119
"Nova Carnaxide, Oeiras",470.000 €,Apartamento,3,3,2
"Alto do Forte, Sintra",169.500 €,Apartamento,1,1,36
"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Lisboa",Desde405.000 €,Apartamentos,2-3,2-4,113-240
"Olivais, Lisboa",298.000 €,Apartamento,2,1,70
"Linda-a-Velha, Oeiras",325.000 €,Apartamento,3,2,85
"Costa da Caparica, Setúbal",200.000 €,Apartamento,1,1,1
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",650.000 €,Apartamento,3,2,96
"Ajuda, Lisboa",329.000 €,Apartamento,3,1,81
"Queluz e Belas, Lisboa",215.000 €,Apartamento,3,1,70
"Serra das Minas, Sintra",115.000 €,Apartamento,1,1,32
"Costa da Caparica, Setúbal",245.000 €,Apartamento,2,1,61
"Lisboa, Lisboa",735.000 €,Apartamento,4,2,162
"Casal Gouveia, Sintra",179.500 €,Apartamento,2,1,55
"Beato, Lisboa",239.000 €,Apartamento,1,1,50
"Damaia de Cima, Amadora",195.000 €,Apartamento,2,1,70
"Ajuda, Lisboa",499.000 €,Apartamento,3,2,107
"Moscavide, Loures",249.500 €,Apartamento,2,1,72
"Venteira, Amadora",170.000 €,Apartamento,3,2,72
"Centro de Carnaxide, Oeiras",525.000 €,Apartamento,5,4,150
"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa",438.000 €,Apartamento,2,2,81
